group,group,dataset,id,data_central,theory (p),theory (N),cfactor,
CHORUS,CHORUS,CHORUSNUPb,120,1.6395,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,121,1.5218,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,122,1.6315,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,123,1.6412,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,124,1.5576,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,125,1.4996,1.29478359222412,1.28662979602814,-0.006297420082361,0
CHORUS,CHORUS,CHORUSNUPb,126,1.7914,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,127,1.9083,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,128,1.8668,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,129,1.9162,1.69854915142059,1.65475392341614,-0.02578390384984,0
CHORUS,CHORUS,CHORUSNUPb,130,1.8269,1.64937329292297,1.61877989768982,-0.018548496792341,0
CHORUS,CHORUS,CHORUSNUPb,131,1.746,1.60325169563293,1.58339977264404,-0.012382287224748,0
CHORUS,CHORUS,CHORUSNUPb,132,1.7297,1.5605263710022,1.55066931247711,-0.006316495964599,0
CHORUS,CHORUS,CHORUSNUPb,133,1.8462,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,134,1.9269,1.79422926902771,1.81270182132721,0.010295536149352,0
CHORUS,CHORUS,CHORUSNUPb,135,1.8468,1.74655652046204,1.77961158752441,0.018925850194435,0
CHORUS,CHORUS,CHORUSNUPb,136,1.8758,1.69754028320313,1.74446034431458,0.027640028089888,0
CHORUS,CHORUS,CHORUSNUPb,137,1.764,1.65500843524933,1.71052098274231,0.033542153810605,0
CHORUS,CHORUS,CHORUSNUPb,138,1.7746,1.62089443206787,1.67932415008545,0.036047824498376,0
CHORUS,CHORUS,CHORUSNUPb,139,1.7412,1.5940808057785,1.65173780918121,0.036169435823896,0
CHORUS,CHORUS,CHORUSNUPb,140,1.8418,1.73613154888153,1.78929209709167,0.030620115304276,0
CHORUS,CHORUS,CHORUSNUPb,141,1.8628,1.71487641334534,1.75640428066254,0.02421624496904,0
CHORUS,CHORUS,CHORUSNUPb,142,1.86,1.68515396118164,1.72095370292664,0.021244196417455,0
CHORUS,CHORUS,CHORUSNUPb,143,1.817,1.65145778656006,1.68729114532471,0.021698016780246,0
CHORUS,CHORUS,CHORUSNUPb,144,1.7459,1.61911225318909,1.65670585632324,0.023218651492575,0
CHORUS,CHORUS,CHORUSNUPb,145,1.6513,1.58994901180267,1.62949192523956,0.024870554428696,0
CHORUS,CHORUS,CHORUSNUPb,146,1.7645,1.56483829021454,1.60576474666595,0.026153792827887,0
CHORUS,CHORUS,CHORUSNUPb,147,1.7423,1.64206838607788,1.64687371253967,0.002926386320164,0
CHORUS,CHORUS,CHORUSNUPb,148,1.5788,1.59053146839142,1.60606169700623,0.009764175637791,0
CHORUS,CHORUS,CHORUSNUPb,149,1.6565,1.55304992198944,1.5694375038147,0.010551870608425,0
CHORUS,CHORUS,CHORUSNUPb,150,1.6372,1.51885652542114,1.53768539428711,0.012396739620121,0
CHORUS,CHORUS,CHORUSNUPb,151,1.5701,1.48933374881744,1.50996804237366,0.013854714279185,0
CHORUS,CHORUS,CHORUSNUPb,152,1.5032,1.46374332904816,1.48584365844727,0.015098500509294,0
CHORUS,CHORUS,CHORUSNUPb,153,1.5134,1.44185495376587,1.46480000019074,0.015913560767633,0
CHORUS,CHORUS,CHORUSNUPb,154,1.4817,1.49976289272308,1.44627356529236,-0.035665189271089,0
CHORUS,CHORUS,CHORUSNUPb,155,1.6099,1.43954634666443,1.4012393951416,-0.026610432940619,0
CHORUS,CHORUS,CHORUSNUPb,156,1.5133,1.39311718940735,1.36557102203369,-0.019773043921291,0
CHORUS,CHORUS,CHORUSNUPb,157,1.3884,1.35699152946472,1.33634531497955,-0.015214696655706,0
CHORUS,CHORUS,CHORUSNUPb,158,1.4257,1.32769429683685,1.31174385547638,-0.012013640036321,0
CHORUS,CHORUS,CHORUSNUPb,159,1.3594,1.30295348167419,1.29057395458221,-0.0095011274509,0
CHORUS,CHORUS,CHORUSNUPb,160,1.2941,1.28176951408386,1.27193868160248,-0.007669734982276,0
CHORUS,CHORUS,CHORUSNUPb,161,1.2125,1.20020937919617,1.10431277751923,-0.07989989358454,0
CHORUS,CHORUS,CHORUSNUPb,162,1.2069,1.14565396308899,1.05990505218506,-0.074847129819836,0
CHORUS,CHORUS,CHORUSNUPb,163,1.1377,1.10592377185822,1.02881896495819,-0.069719820535614,0
CHORUS,CHORUS,CHORUSNUPb,164,1.0877,1.07466566562653,1.00497460365295,-0.064849063483332,0
CHORUS,CHORUS,CHORUSNUPb,165,1.0054,1.04890203475952,0.98548835515976,-0.060457199527028,0
CHORUS,CHORUS,CHORUSNUPb,166,0.9982,1.02709460258484,0.968814551830291,-0.056742631699044,0
CHORUS,CHORUS,CHORUSNUPb,167,0.8025,0.827553272247314,0.684056282043457,-0.173399097092777,0
CHORUS,CHORUS,CHORUSNUPb,168,0.6997,0.772985696792603,0.648076713085175,-0.161592878400882,0
CHORUS,CHORUS,CHORUSNUPb,169,0.7066,0.734681844711304,0.625355064868927,-0.148808331973056,0
CHORUS,CHORUS,CHORUSNUPb,170,0.6787,0.705437242984772,0.60893040895462,-0.136804279884376,0
CHORUS,CHORUS,CHORUSNUPb,171,0.637,0.682215750217438,0.595904052257538,-0.126516718402339,0
CHORUS,CHORUS,CHORUSNUPb,172,0.6436,0.660078227519989,0.581869781017303,-0.118483602764064,0
CHORUS,CHORUS,CHORUSNUPb,173,0.4822,0.470491170883179,0.372754871845245,-0.207732482746634,0
CHORUS,CHORUS,CHORUSNUPb,174,0.4126,0.43053349852562,0.347162544727325,-0.193645683979996,0
CHORUS,CHORUS,CHORUSNUPb,175,0.4038,0.404414683580399,0.332164317369461,-0.178654161543504,0
CHORUS,CHORUS,CHORUSNUPb,176,0.3626,0.385140925645828,0.321778893470764,-0.164516487228187,0
CHORUS,CHORUS,CHORUSNUPb,177,0.369,0.367569744586945,0.311619818210602,-0.152215809925315,0
CHORUS,CHORUS,CHORUSNUPb,178,0.314,0.355870753526688,0.305225044488907,-0.142314895326128,0
CHORUS,CHORUS,CHORUSNUPb,179,0.2166,0.226963400840759,0.175749972462654,-0.225646197529606,0
CHORUS,CHORUS,CHORUSNUPb,180,0.1863,0.200101941823959,0.159412816166878,-0.203341983022224,0
CHORUS,CHORUS,CHORUSNUPb,181,0.1764,0.182976290583611,0.150338172912598,-0.178373479792995,0
CHORUS,CHORUS,CHORUSNUPb,182,0.162,0.16949974000454,0.142971694469452,-0.156507883341751,0
CHORUS,CHORUS,CHORUSNUPb,183,0.1424,0.16099950671196,0.138688012957573,-0.138581131147835,0
CHORUS,CHORUS,CHORUSNUPb,184,1.2977,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,185,1.3554,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,186,1.2585,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,187,1.5035,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,188,1.3568,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,189,1.2692,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,190,1.3066,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,191,1.6034,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,192,1.7698,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,193,1.7085,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,194,1.5212,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,195,1.6019,1.42842555046082,1.41207647323608,-0.011445522813182,0
CHORUS,CHORUS,CHORUSNUPb,196,1.5783,1.38683223724365,1.37876272201538,-0.00581866718379,0
CHORUS,CHORUS,CHORUSNUPb,197,1.5216,1.33253848552704,1.34416472911835,0.008724883909608,0
CHORUS,CHORUS,CHORUSNUPb,198,2,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,199,2.0312,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,200,1.9654,1.77700304985046,1.72671437263489,-0.028299713509106,0
CHORUS,CHORUS,CHORUSNUPb,201,1.8726,1.72585678100586,1.69212782382965,-0.019543311790073,0
CHORUS,CHORUS,CHORUSNUPb,202,1.974,1.67508816719055,1.65520644187927,-0.011869061999659,0
CHORUS,CHORUS,CHORUSNUPb,203,1.8741,1.62575483322144,1.61925685405731,-0.003996899797768,0
CHORUS,CHORUS,CHORUSNUPb,204,1.7278,1.581374168396,1.58632600307465,0.003131349163034,0
CHORUS,CHORUS,CHORUSNUPb,205,1.9023,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,206,1.9785,1.81187498569489,1.83224678039551,0.011243488022884,0
CHORUS,CHORUS,CHORUSNUPb,207,1.9538,1.75918900966644,1.79734969139099,0.021692201073826,0
CHORUS,CHORUS,CHORUSNUPb,208,1.8525,1.71177506446838,1.76116561889648,0.028853413893746,0
CHORUS,CHORUS,CHORUSNUPb,209,1.8521,1.67372286319733,1.72661328315735,0.031600464523132,0
CHORUS,CHORUS,CHORUSNUPb,210,1.8547,1.64258646965027,1.69506585597992,0.03194923816755,0
CHORUS,CHORUS,CHORUSNUPb,211,1.7113,1.61448848247528,1.66738426685333,0.03276318471901,0
CHORUS,CHORUS,CHORUSNUPb,212,1.8105,1.75499439239502,1.79635155200958,0.023565408410293,0
CHORUS,CHORUS,CHORUSNUPb,213,1.8287,1.73035645484924,1.75970232486725,0.016959436268617,0
CHORUS,CHORUS,CHORUSNUPb,214,1.8716,1.69490277767181,1.7225114107132,0.016289213402144,0
CHORUS,CHORUS,CHORUSNUPb,215,1.7688,1.65801560878754,1.68803298473358,0.018104398889222,0
CHORUS,CHORUS,CHORUSNUPb,216,1.7494,1.62378132343292,1.6570143699646,0.020466454473942,0
CHORUS,CHORUS,CHORUSNUPb,217,1.7641,1.59347748756409,1.62959802150726,0.022667740350944,0
CHORUS,CHORUS,CHORUSNUPb,218,1.6267,1.56764841079712,1.60579967498779,0.02433662033394,0
CHORUS,CHORUS,CHORUSNUPb,219,1.6742,1.63291597366333,1.64103496074677,0.0049720789155,0
CHORUS,CHORUS,CHORUSNUPb,220,1.6161,1.58771312236786,1.59730422496796,0.006040828450038,0
CHORUS,CHORUS,CHORUSNUPb,221,1.5994,1.54784977436066,1.55967974662781,0.007642842647335,0
CHORUS,CHORUS,CHORUSNUPb,222,1.7877,1.51342833042145,1.52742552757263,0.00924866864841,0
CHORUS,CHORUS,CHORUSNUPb,223,1.6471,1.48344874382019,1.49958670139313,0.010878675545862,0
CHORUS,CHORUS,CHORUSNUPb,224,1.5696,1.45757663249969,1.47545123100281,0.012263230697146,0
CHORUS,CHORUS,CHORUSNUPb,225,1.4596,1.43551588058472,1.45450282096863,0.013226562409172,0
CHORUS,CHORUS,CHORUSNUPb,226,1.4995,1.48287439346313,1.43130195140839,-0.034778698912121,0
CHORUS,CHORUS,CHORUSNUPb,227,1.4796,1.4216468334198,1.38464093208313,-0.02603030546458,0
CHORUS,CHORUS,CHORUSNUPb,228,1.4398,1.37683272361755,1.34865319728851,-0.020466920814462,0
CHORUS,CHORUS,CHORUSNUPb,229,1.4184,1.34209477901459,1.31946182250977,-0.016863903249396,0
CHORUS,CHORUS,CHORUSNUPb,230,1.4,1.31309819221497,1.29498565196991,-0.013793743950331,0
CHORUS,CHORUS,CHORUSNUPb,231,1.331,1.28849244117737,1.27391445636749,-0.011313985510505,0
CHORUS,CHORUS,CHORUSNUPb,232,1.344,1.26762735843658,1.25554299354553,-0.009533057811214,0
CHORUS,CHORUS,CHORUSNUPb,233,1.1008,1.17853379249573,1.08239543437958,-0.081574545191922,0
CHORUS,CHORUS,CHORUSNUPb,234,1.1765,1.12485158443451,1.0383380651474,-0.076911052519521,0
CHORUS,CHORUS,CHORUSNUPb,235,1.037,1.08583867549896,1.0077360868454,-0.071928354014168,0
CHORUS,CHORUS,CHORUSNUPb,236,1.1252,1.05505871772766,0.984388172626495,-0.066982570651018,0
CHORUS,CHORUS,CHORUSNUPb,237,1.0824,1.02960872650146,0.965352237224579,-0.062408648667174,0
CHORUS,CHORUS,CHORUSNUPb,238,1.078,1.0055068731308,0.94603955745697,-0.059141630219461,0
CHORUS,CHORUS,CHORUSNUPb,239,1.0356,0.987579822540283,0.932069659233093,-0.056208280120998,0
CHORUS,CHORUS,CHORUSNUPb,240,0.7286,0.803617119789124,0.662096261978149,-0.176104831923081,0
CHORUS,CHORUS,CHORUSNUPb,241,0.6953,0.749979257583618,0.627792835235596,-0.16291973559602,0
CHORUS,CHORUS,CHORUSNUPb,242,0.7202,0.712686896324158,0.606182217597961,-0.149441050867524,0
CHORUS,CHORUS,CHORUSNUPb,243,0.7206,0.684465348720551,0.590529143810272,-0.137240263639161,0
CHORUS,CHORUS,CHORUSNUPb,244,0.6269,0.659083306789398,0.575292408466339,-0.127132484558334,0
CHORUS,CHORUS,CHORUSNUPb,245,0.6697,0.641391158103943,0.565204203128815,-0.118783918381958,0
CHORUS,CHORUS,CHORUSNUPb,246,0.4215,0.451314657926559,0.355637311935425,-0.21199698328146,0
CHORUS,CHORUS,CHORUSNUPb,247,0.409,0.413638800382614,0.332173824310303,-0.196947133578757,0
CHORUS,CHORUS,CHORUSNUPb,248,0.3424,0.388760209083557,0.318360060453415,-0.181088874286028,0
CHORUS,CHORUS,CHORUSNUPb,249,0.3766,0.367915540933609,0.306703090667725,-0.166376364832412,0
CHORUS,CHORUS,CHORUSNUPb,250,0.3255,0.354130923748016,0.299696296453476,-0.153713284110917,0
CHORUS,CHORUS,CHORUSNUPb,251,0.3317,0.34288689494133,0.293667584657669,-0.143543865367274,0
CHORUS,CHORUS,CHORUSNUPb,252,0.202,0.213702619075775,0.164580747485161,-0.229860877714356,0
CHORUS,CHORUS,CHORUSNUPb,253,0.1788,0.18854732811451,0.150159627199173,-0.203597162045292,0
CHORUS,CHORUS,CHORUSNUPb,254,0.1734,0.171352341771126,0.14076341688633,-0.178514775862553,0
CHORUS,CHORUS,CHORUSNUPb,255,0.1444,0.160959631204605,0.135693415999413,-0.156972372613573,0
CHORUS,CHORUS,CHORUSNUPb,256,0.161,0.153067260980606,0.131796777248383,-0.138961679956621,0
CHORUS,CHORUS,CHORUSNUPb,257,0.1293,0.146790623664856,0.128499522805214,-0.124606738516237,0
CHORUS,CHORUS,CHORUSNUPb,258,1.3471,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,259,1.5816,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,260,1.4637,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,261,1.4665,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,262,1.446,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,263,1.465,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,264,1.1962,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,265,1.8419,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,266,1.837,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,267,1.7715,0,0,#DIV/0!,0
